closing_date,year,period_type,dividend_value
2025-07-17,2024,full year,198.25
2024-07-19,2023,full year,177.2
2023-07-20,2022,full year,166.6652
2022-07-20,2021,full year,104.9736
2021-07-19,2020,full year,92.22428
2020-10-20,2019,full year,116.122
2019-07-20,2018,full year,107.0595
2018-07-10,2017,full year,75.7827
2017-07-20,2016,full year,42.9648
2016-07-20,2015,full year,20.7708
2015-07-20,2014,full year,31.867
2014-07-20,2013,full year,12.2138
2013-05-30,2012,full year,6.851
2012-05-24,2011,full year,3.0131
2011-05-24,2010,full year,1.3234
2010-05-28,2009,full year,1.0529
2009-05-28,2008,full year,0.0
2008-05-26,2007,full year,1.3522
