closing_date,year,period_type,dividend_value
2019-07-05,2018,full year,2.6877
2018-07-06,2017,full year,12.8053
2017-07-14,2016,full year,17.4795
2014-07-08,2013,full year,2.4984
2013-05-06,2012,full year,1.1636
2012-05-10,2011,full year,1.8081
2011-05-11,2010,full year,1.0851
2010-05-04,2009,full year,0.3497
2009-05-05,2008,full year,0.1818
2008-05-05,2007,full year,1.367
2007-05-07,2006,full year,1.287
2006-04-29,2005,full year,0.8202
2005-04-30,2004,full year,0.7
2004-04-19,2003,full year,0.4369
2003-03-07,2002,full year,0.29
2002-04-05,2001,full year,0.06
2001-03-20,2000,full year,0.03
