closing_date,year,period_type,dividend_value
2021-09-10,2021,full year,0.89
2021-04-16,2020,full year,1.04
2020-09-18,2020,full year,0.19
2020-04-17,2019,full year,0.32
2019-09-13,2019,full year,0.19
2019-04-26,2018,full year,0.41
2018-09-14,2018,full year,0.12
2018-04-13,2017,full year,0.29
2017-09-14,2017,full year,0.23
2017-04-13,2016,full year,0.58
2016-09-23,2016,full year,0.23
2016-05-27,2015,full year,0.58
2015-10-02,2015,full year,0.23
2015-05-22,2014,full year,0.47
2014-10-01,2014,full year,0.46
