closing_date,year,period_type,dividend_value
2024-05-19,2023,full year,427.0
2021-12-14,2021,9 months,720.0
2021-06-08,2020,full year,30.0
2020-06-09,2019,full year,275.0
2019-12-11,2019,9 months,101.0
2019-06-11,2018,full year,135.0
2018-06-14,2017,full year,185.0
2017-07-11,2016,full year,95.0
2016-09-20,2016,full year,155.0
2016-06-14,2015,full year,180.0
2014-06-09,2013,full year,152.0
2013-04-11,2012,full year,64.0
2012-05-11,2011,full year,46.0
2011-04-08,2010,full year,40.0
2010-04-09,2009,full year,25.0
2009-04-10,2008,full year,80.0
2008-04-14,2007,full year,40.0
2007-04-10,2006,full year,24.0
