closing_date,year,period_type,dividend_value
2019-07-08,2018,full year,395.0
2017-12-21,2017,9 months,875.0
2017-06-16,2016,full year,8.75
2016-12-23,2016,9 months,500.0
2016-06-20,2015,full year,435.0
2015-12-21,2015,9 months,75.0
2015-06-15,2014,full year,706.25
2014-12-23,2014,9 months,0.0
2014-06-11,2013,full year,725.0
2013-11-05,2013,9 months,125.0
2013-04-29,2012,full year,950.0
2012-11-06,2012,9 months,375.0
2012-04-27,2011,full year,312.5
2011-11-09,2011,9 months,0.0
2011-04-30,2010,full year,562.5
2010-11-19,2010,9 months,962.5
2010-04-30,2009,full year,375.0
2009-11-26,2009,9 months,875.0
2009-04-30,2008,full year,500.0
2008-11-21,2008,9 months,125.0
2008-04-24,2007,full year,375.0
