closing_date,year,period_type,dividend_value
2024-10-19,2024,full year,2.49
2024-05-31,2023,full year,2.02
2023-10-18,2023,full year,3.77
2021-10-19,2021,full year,8.79
2021-07-04,2020,full year,9.54
2020-07-13,2019,full year,2.63
2019-10-14,2019,full year,3.84
2019-07-15,2018,full year,4.11
2018-10-15,2018,full year,5.93
2018-07-14,2017,full year,5.24
2017-07-20,2016,full year,8.93
2016-07-19,2015,full year,2.09
2015-07-15,2014,full year,1.47
2014-07-18,2013,full year,1.47
2013-05-11,2012,full year,1.11
2012-05-11,2011,full year,1.01
2011-04-29,2010,full year,0.25
2010-05-18,2009,full year,0.03
