closing_date,year,period_type,dividend_value
2025-07-07,2024,full year,10.0
2024-12-02,2024,9 months,20.0
2024-10-06,2024,full year,10.0
2024-07-08,2023,full year,10.0
2023-12-09,2023,9 months,19.0
2023-09-22,2023,full year,16.0
2023-07-11,2023,full year,10.0
2022-12-18,2022,9 months,15.0
2022-09-11,2022,full year,15.0
2022-07-11,2022,full year,8.0
2021-12-20,2021,9 months,4.0
2021-09-21,2021,full year,4.0
2021-07-11,2021,full year,4.0
2021-07-11,2020,full year,5.0
2020-09-11,2020,full year,5.0
