closing_date,year,period_type,dividend_value
2025-04-28,2024,full year,28.5
2024-12-02,2024,9 months,49.57
2024-10-02,2024,full year,34.7
2024-05-29,2024,full year,33.46
2023-11-23,2023,9 months,57.0
2023-09-25,2023,full year,47.08
2023-05-22,2022,full year,26.02
2022-11-28,2022,9 months,17.34
2021-12-12,2021,9 months,18.59
2021-09-06,2021,full year,24.78
2021-04-26,2020,full year,18.59
2020-12-22,2020,9 months,24.78
2020-09-21,2020,full year,24.78
2020-06-02,2020,full year,6.2
2020-04-27,2019,full year,24.78
2019-11-25,2019,9 months,11.16
2019-09-09,2019,full year,8.67
2019-06-25,2019,full year,11.15
2019-05-03,2018,full year,24.78
2018-07-08,2017,full year,6.2
2018-01-09,2017,9 months,6.2
