closing_date,year,period_type,dividend_value
2025-07-14,2024,full year,147.31
2024-07-12,2023,full year,249.69
2023-07-07,2022,full year,199.89
2022-07-11,2021,full year,117.29
2021-07-14,2020,full year,0.1
2020-07-06,2019,full year,107.81
2019-06-24,2018,full year,158.95
2018-07-09,2017,full year,158.95
2017-12-12,2017,9 months,148.31
2017-07-12,2016,full year,0.1
2016-07-15,2015,full year,164.0
2015-07-17,2014,full year,113.0
2014-06-23,2013,full year,211.0
2013-11-05,2013,9 months,199.0
2013-05-15,2012,full year,24.0
2012-05-15,2011,full year,99.0
2011-05-20,2010,full year,235.77
2010-05-21,2009,full year,109.65
2009-05-22,2008,full year,48.82
2008-03-12,2007,full year,16.31
2007-03-07,2006,full year,25.8
2006-03-10,2005,full year,5.67
2005-03-09,2004,full year,1.25
2004-03-16,2003,full year,1.0
2003-03-13,2002,full year,1.0
2002-03-14,2001,full year,1.0
2001-04-03,2000,full year,1.0
2000-04-10,1999,full year,1.0
1999-04-05,1998,full year,0.5
1998-04-21,1997,full year,0.55
1997-04-15,1996,full year,1.1
