closing_date,year,period_type,dividend_value
2024-07-12,2023,full year,0.0
2023-01-13,2022,9 months,0.2967
2022-07-15,2021,full year,1.053
2022-01-13,2021,9 months,2.6029
2021-07-15,2020,full year,0.332
2020-10-09,2019,full year,0.854
2019-07-10,2018,full year,0.792
2018-07-10,2017,full year,0.459
2017-07-11,2016,full year,0.427
2016-06-22,2015,full year,0.5276
2015-06-22,2014,full year,0.0
2014-06-20,2013,full year,0.21
2013-04-25,2012,full year,0.1561
2012-04-20,2011,full year,0.0631
2011-04-22,2010,full year,0.066
2010-04-20,2009,full year,0.0567
2009-04-21,2008,full year,0.0094
2008-04-22,2007,full year,0.0609
2007-04-24,2006,full year,0.0603
2006-04-18,2005,full year,0.0591
2005-04-15,2004,full year,0.04354
2004-04-08,2003,full year,0.027
