closing_date,year,period_type,dividend_value
2025-07-11,2024,full year,0.974
2024-07-12,2023,full year,0.67
2023-07-14,2023,full year,0.033
2023-01-13,2022,9 months,0.509
2022-07-15,2021,full year,0.4118
2022-01-13,2021,9 months,1.017
2021-07-15,2020,full year,0.264
2020-10-09,2019,full year,0.782
2019-07-10,2018,full year,0.629
2018-07-10,2017,full year,0.365
2017-07-11,2016,full year,0.337
2016-06-22,2015,full year,0.55
2015-06-22,2014,full year,0.323
2014-06-20,2013,full year,0.345
2013-04-25,2012,full year,0.4
2012-04-20,2011,full year,0.284
2011-04-22,2010,full year,0.262
2010-04-20,2009,full year,0.256
2009-04-21,2008,full year,0.235
2008-04-22,2007,full year,0.233
2007-04-24,2006,full year,0.243
2006-04-18,2005,full year,0.27
2005-04-15,2004,full year,0.24
2004-04-08,2003,full year,0.2
