closing_date,year,period_type,dividend_value
2024-12-17,2024,9 months,49.06
2024-09-10,2024,full year,31.06
2024-06-18,2024,full year,38.3
2024-06-18,2023,full year,191.51
2021-12-14,2021,9 months,85.93
2021-09-02,2021,full year,84.45
2021-06-01,2021,full year,46.77
2021-06-01,2020,full year,36.27
2020-12-08,2020,9 months,37.34
2020-09-08,2020,full year,15.44
2020-06-16,2020,full year,27.35
2020-06-16,2019,full year,26.26
2019-12-03,2019,9 months,27.47
2019-05-07,2018,full year,32.08
2018-12-04,2018,9 months,44.39
2018-09-25,2018,full year,45.94
2017-12-05,2017,9 months,35.61
2017-09-26,2017,full year,22.28
2017-06-20,2017,full year,24.44
2017-06-20,2016,full year,27.73
2016-12-13,2016,9 months,24.96
2016-09-16,2016,full year,19.66
2016-07-05,2016,full year,8.25
2016-07-05,2015,full year,20.27
2015-12-21,2015,9 months,13.17
2015-09-28,2015,full year,12.63
2015-06-05,2015,full year,12.81
2015-06-05,2014,full year,14.65
2014-11-25,2014,9 months,54.46
2014-09-22,2014,full year,2.14
2014-06-23,2013,full year,3.83
2014-06-23,2014,full year,2.43
2013-10-31,2013,9 months,2.01
2013-08-12,2013,full year,2.03
2013-04-26,2013,full year,0.43
2013-04-26,2012,full year,1.89
2012-11-09,2012,9 months,3.18
2012-08-09,2012,full year,1.52
2012-05-14,2012,full year,4.07
2012-05-14,2011,full year,3.56
2011-11-14,2011,9 months,3.36
2011-08-23,2011,full year,4.37
2011-05-21,2011,full year,3.9
2011-05-21,2010,full year,2.42
2010-11-13,2007,9 months,2.5
2010-11-11,2010,9 months,4.29
2008-11-13,2008,9 months,7.17
2008-08-19,2008,full year,18.35
2008-05-14,2007,full year,4.0
2008-05-14,2008,full year,5.2
2007-08-19,2007,full year,10.0
2007-05-17,2007,full year,2.6
2007-04-26,2006,full year,5.0
2006-11-15,2006,9 months,2.0
2006-08-06,2006,full year,3.6
2006-04-20,2005,full year,4.0
2005-10-18,2005,9 months,3.0
2005-08-03,2005,full year,3.9
2005-04-20,2005,full year,4.0
2005-04-20,2004,full year,3.0
