closing_date,year,period_type,dividend_value
2022-07-04,2021,full year,1.524
2021-06-18,2020,full year,0.0
2020-08-10,2019,full year,11.83
2019-06-19,2018,full year,7.41
2018-06-18,2017,full year,0.030069
2017-07-07,2016,full year,0.0082123
2016-07-08,2015,full year,0.0
2015-07-03,2014,full year,0.0
2014-06-24,2013,full year,0.1104166
2013-04-29,2012,full year,0.0475386
2012-04-27,2011,full year,0.0999762
2011-04-25,2010,full year,0.247446
2010-04-08,2009,full year,0.166631
2009-04-28,2008,full year,0.088509
2008-05-15,2007,full year,0.145419
2007-05-10,2006,full year,0.11844
2006-04-26,2005,full year,0.1128
2005-04-28,2004,full year,0.105424
2004-04-19,2003,full year,0.070272
