closing_date,year,period_type,dividend_value
2025-07-11,2024,full year,0.224
2024-07-01,2023,full year,0.189
2023-07-10,2022,full year,0.034
2022-07-04,2021,full year,1.524
2021-06-18,2020,full year,0.25
2020-08-10,2019,full year,11.83
2019-06-19,2018,full year,7.41
2018-06-18,2017,full year,0.030069
2017-07-07,2016,full year,0.0164246
2016-07-08,2015,full year,0.0241864
2015-07-03,2014,full year,0.5813052
2014-06-24,2013,full year,0.5234881
2013-04-29,2012,full year,0.0950773
2012-04-27,2011,full year,0.1999524
2011-04-25,2010,full year,0.494893
2010-04-08,2009,full year,0.333262
2009-04-28,2008,full year,0.265527
2008-05-15,2007,full year,0.400236
2007-05-10,2006,full year,0.32668
2006-04-26,2005,full year,0.27493
2005-04-28,2004,full year,0.268255
2004-04-19,2003,full year,0.195835
