closing_date,year,period_type,dividend_value
2021-12-26,2021,9 months,5.2
2021-07-11,2020,full year,6.07
2020-12-28,2020,9 months,5.08
2020-07-11,2019,full year,3.0
2019-12-17,2019,9 months,5.06
2019-05-27,2018,full year,4.45
2018-12-16,2018,9 months,4.39
2018-05-29,2017,full year,3.88
2017-12-15,2017,9 months,2.97
2017-07-17,2016,full year,3.48
2016-12-12,2016,9 months,4.22
2016-07-17,2015,full year,1.77
2015-12-15,2015,9 months,1.9215
2015-07-19,2014,full year,1.1354
2014-11-28,2014,9 months,1.5439
2014-07-19,2013,full year,1.15
