closing_date,year,period_type,dividend_value
,2021,full year,0.55
2021-05-28,2021,full year,0.3
2021-03-12,2021,full year,0.2
2020-08-21,2020,full year,0.2
2020-03-06,2020,full year,0.4
2020-03-06,2020,full year,0.4
2019-03-08,2019,full year,0.4
2018-11-23,2018,full year,0.25
2018-08-17,2018,full year,0.4
2018-06-08,2018,full year,0.13
2018-03-09,2018,full year,0.3
2017-08-18,2017,full year,0.3
2014-06-06,2013,full year,0.06
2012-09-07,2012,full year,0.11
2012-06-08,2011,full year,0.17
2011-10-28,2011,full year,0.33
2008-09-18,2008,full year,0.825
2008-05-14,2007,full year,0.42
2007-10-19,2007,full year,0.48
2007-06-06,2006,full year,0.33
2006-11-14,2006,full year,0.195
2006-06-20,2005,full year,0.135
2005-11-24,2005,full year,0.165
