closing_date,year,period_type,dividend_value
2021-07-16,2020,full year,0.016132865449
2020-05-29,2019,full year,0.009494338212
2020-01-13,2019,9 months,0.00880960765
2019-07-16,2018,full year,0.016042926012
2018-07-18,2017,full year,0.014815395834
2017-07-19,2017,full year,0.001116473
2017-07-19,2016,full year,0.0142663525
2016-07-11,2015,full year,0.0133185
2015-07-16,2014,full year,0.0006647883
2014-07-16,2014,full year,0.0003426806681
2011-05-16,2010,full year,0.0020523650155
2008-05-15,2007,full year,0.0007977370096
