closing_date,year,period_type,dividend_value
2024-07-20,2023,full year,11.27
2024-01-07,2023,9 months,6.32
2023-07-05,2022,full year,4.29
2021-07-05,2020,full year,6.67
2020-08-14,2019,full year,3.651299225669822
2019-07-06,2018,full year,0.7295454494492317
2018-07-09,2017,full year,0.86235949
2017-06-26,2016,full year,3.1224939
2016-07-11,2015,full year,3.036917919866
2015-07-10,2014,full year,0.572533481145275
2014-07-20,2013,full year,0.1525400038575333
2013-08-24,2012,full year,0.15254000385
