closing_date,year,period_type,dividend_value
2022-10-11,2022,half year,51.03
2021-07-15,2021,full year,12.55
2020-07-16,2019,full year,15.24
2019-07-18,2018,full year,16.61
2018-07-19,2017,full year,8.04
2017-07-20,2016,full year,8.0397
2016-07-20,2015,full year,7.89
2015-07-16,2014,full year,7.2
2014-07-17,2013,full year,7.2
2013-05-13,2012,full year,5.99
2012-05-10,2011,full year,8.97
2011-05-12,2010,full year,3.85
2010-05-07,2009,full year,2.39
2009-05-08,2008,full year,0.36
2008-05-08,2007,full year,2.66
2007-05-11,2006,full year,2.54
2006-05-12,2005,full year,1.5
2005-05-06,2004,full year,1.19
2004-05-07,2003,full year,0.69
2003-05-12,2002,full year,0.4
2002-05-13,2001,full year,0.44
2001-05-04,2000,full year,0.3
2000-05-05,1999,full year,0.1
,1998,full year,0.0
1998-04-28,1997,full year,0.03
1997-04-29,1996,full year,0.02
1996-05-05,1995,full year,0.02
1995-05-05,1994,full year,0.02
