closing_date,year,period_type,dividend_value
2025-04-07,2024,full year,98.92
2024-09-29,2024,full year,142.11
2024-04-07,2023,full year,205.38
2023-10-01,2023,full year,118.43
2022-12-12,2021,full year,148.05
2021-10-03,2021,full year,85.27
2021-04-05,2020,full year,134.0
2020-10-05,2020,full year,48.79
2020-04-07,2019,full year,60.92
2019-10-07,2019,full year,48.79
2019-04-07,2018,full year,101.63
2018-10-08,2018,full year,20.48
2018-04-03,2017,full year,75.07
2017-05-01,2016,full year,13.65
2016-05-03,2015,full year,22.75
2015-10-09,2015,full year,22.75
