closing_date,year,period_type,dividend_value
2024-12-17,2024,9 months,2.7
2024-09-16,2024,full year,5.0
2024-06-24,2023,full year,2.2
2023-12-25,2023,9 months,20.0
2023-09-25,2023,full year,42.0
2023-07-10,2022,full year,27.22
2022-10-17,2022,full year,53.0
2022-06-21,2021,full year,18.0
2022-01-05,2021,9 months,23.5
2021-10-05,2021,full year,45.0
2021-06-09,2020,full year,28.6
2021-01-11,2020,9 months,27.0
2020-10-12,2020,full year,10.0
2020-07-23,2020,full year,17.5
2020-07-03,2019,full year,18.5
2019-12-31,2019,9 months,11.0
2019-09-25,2019,full year,33.0
