closing_date,year,period_type,dividend_value
2021-09-07,2021,full year,22.5
2021-04-29,2020,full year,28.0
2020-04-30,2019,full year,46.55
2019-09-09,2019,full year,46.55
2019-04-18,2018,full year,46.5
2018-09-04,2018,full year,21.1
2018-09-04,2018,full year,24.8
2017-09-05,2017,full year,23.25
2017-09-05,2017,full year,21.6
2017-04-24,2017,full year,20.16
2017-04-24,2017,full year,24.64
2017-04-24,2016,full year,39.2
2016-04-28,2015,full year,12.41
2014-04-28,2013,full year,22.28
2013-04-19,2012,full year,22.2
2012-05-04,2011,full year,18.86
2011-05-13,2010,full year,10.34
2010-05-03,2009,full year,4.42
