closing_date,year,period_type,dividend_value
2023-12-26,2023,9 months,915.33
2022-06-14,2021,full year,166.22
2022-01-14,2021,9 months,523.17
2021-06-01,2020,full year,21.22
2020-12-24,2020,9 months,623.35
2020-05-25,2019,full year,557.2
2019-12-27,2019,9 months,604.09
2019-10-07,2019,full year,883.93
2019-06-21,2018,full year,792.52
2018-10-01,2018,full year,776.02
2018-07-17,2017,full year,607.98
2017-10-19,2017,full year,224.2
2017-06-23,2016,full year,446.1
2016-12-28,2016,9 months,444.25
2016-06-21,2015,full year,230.14
2015-12-30,2015,9 months,321.95
2015-09-25,2015,full year,305.07
2015-05-25,2014,full year,670.04
2014-12-22,2014,9 months,762.34
2014-06-17,2013,full year,248.48
2013-11-01,2013,9 months,220.7
2013-04-30,2012,full year,400.83
2012-05-24,2011,full year,196.0
2011-05-16,2010,full year,180.0
2010-05-21,2009,full year,210.0
2008-05-26,2007,full year,112.0
2007-11-13,2007,9 months,108.0
2007-05-15,2006,full year,120.0
2006-10-05,2006,9 months,56.0
2006-05-15,2005,full year,53.5
2005-11-11,2005,9 months,43.0
2005-05-12,2004,full year,28.0
2004-10-08,2004,9 months,41.4
2003-11-15,2003,9 months,42.1
2003-05-14,2002,full year,21.7
2002-05-16,2001,full year,23.0
