closing_date,year,period_type,dividend_value
2023-07-11,2022,full year,0.050254795
2022-07-10,2021,full year,0.05304937
2021-07-10,2020,full year,0.0530482
2020-10-10,2019,full year,0.03568039
2019-07-09,2018,full year,0.0367388
2018-07-07,2017,full year,0.0263335
2017-07-10,2016,full year,0.0466245
2016-07-08,2015,full year,0.038863
2015-07-07,2014,full year,0.01561855
2014-07-08,2013,full year,0.01358751
2013-05-23,2012,full year,0.00955606
2012-04-23,2011,full year,0.00789317
2011-05-23,2010,full year,0.00860091
,2009,full year,0.0
,2008,full year,0.0
