closing_date,year,period_type,dividend_value
2025-06-09,2024,full year,0.353756516888506
2024-06-03,2023,full year,0.325999263608046
2023-05-30,2022,full year,0.28365531801897
2022-06-10,2021,full year,0.23658380041773
2021-06-07,2020,full year,0.180711206896552
2020-06-01,2019,full year,0.196192528735633
2019-05-31,2018,full year,0.171635536398468
2018-06-01,2017,full year,0.130383141762452
2017-06-20,2016,full year,0.146819923371648
2016-06-21,2015,full year,0.0178230516552
2015-06-09,2014,full year,0.001039679119
2011-05-17,2010,full year,1.544e-05
