closing_date,year,period_type,dividend_value
2025-09-23,2025,full year,4.0
2025-05-26,2024,full year,2.5
2024-12-03,2024,9 months,7.0
2024-05-27,2023,full year,15.0
2023-12-12,2023,9 months,14.0
2023-05-22,2022,full year,35.0
2022-10-03,2022,full year,15.0
2022-05-23,2021,full year,17.4
2021-12-22,2021,9 months,10.0
2021-05-11,2020,full year,6.85
2019-12-29,2019,9 months,1.0
2019-09-23,2019,full year,1.0
2019-05-07,2018,full year,5.0
2018-12-23,2018,9 months,2.0
2018-05-10,2017,full year,2.0
2018-01-08,2017,9 months,1.0
2017-10-08,2017,full year,1.0
2017-05-10,2016,full year,1.0
2016-12-18,2016,9 months,1.0
2016-10-02,2016,full year,1.0
2016-05-04,2015,full year,2.8
2015-12-22,2015,9 months,1.0
2015-10-02,2015,full year,0.7
2015-05-05,2014,full year,2.0
2014-12-29,2014,9 months,0.5
2014-05-12,2013,full year,1.0
2013-11-05,2013,9 months,1.0
2013-03-07,2012,full year,1.25
