closing_date,year,period_type,dividend_value
2025-07-04,2024,full year,50.36531643
2024-10-06,2024,full year,20.14612657
2023-06-01,2022,full year,15.3894
2022-07-14,2022,full year,1.79077
2022-07-14,2022,full year,13.99037
2022-07-14,2021,full year,2.406343
,2020,full year,0.0
,2019,full year,0.0
2019-06-17,2018,full year,4.1432
2018-07-16,2017,full year,13.6627
2017-10-30,2016,full year,4.2675
,2015,full year,0.0
,2014,full year,0.0
,2013,full year,0.0
2012-05-21,2012,full year,28.0
2012-04-18,2011,full year,32.48745
