closing_date,year,period_type,dividend_value
2025-07-03,2024,full year,1.30230024868398
2024-07-15,2023,full year,1.38116731568087
2023-07-17,2022,full year,1.67164063760301
2022-12-23,2021,full year,0.892054845599803
2021-07-19,2020,full year,2.249600111327242
2020-11-30,2019,full year,2.257774293677
2019-06-18,2018,full year,2.2074818041
2018-06-14,2017,full year,2.669954289
2017-06-14,2016,full year,2.09432925042
2016-06-15,2015,full year,0.47731805589793
2015-07-03,2014,full year,0.365240326455272
