closing_date,year,period_type,dividend_value
2025-07-03,2024,full year,6.28976390233287
2024-07-15,2023,full year,5.61877758372581
2023-07-17,2022,full year,3.14748465561717
2022-12-23,2021,full year,1.44269928417545
2021-07-19,2020,full year,3.459319108275298
2020-11-30,2019,full year,3.389774687119
2019-06-18,2018,full year,2.2074818041
2018-06-14,2017,full year,2.67240869
2017-06-14,2016,full year,2.09625449835
2016-06-15,2015,full year,0.477756835034015
2015-07-03,2014,full year,0.366501699361608
