closing_date,year,period_type,dividend_value
2024-07-16,2023,full year,4.49
2023-07-11,2022,full year,1.84
,2021,full year,0.0
2021-06-16,2020,full year,0.54
,2019,full year,0.0
,2018,full year,0.0
2018-07-18,2017,full year,1.06
2017-07-12,2016,full year,0.42
,2015,full year,0.0
,2014,full year,0.0
2014-07-17,2013,full year,0.29
2013-05-17,2012,full year,0.69
,2011,full year,0.0
,2010,full year,0.0
,2009,full year,0.0
,2008,full year,0.0
,2007,full year,0.0
,2006,full year,0.0
,2005,full year,0.0
,2004,full year,0.0
,2003,full year,0.0
