closing_date,year,period_type,dividend_value
2025-07-08,2024,full year,447.54
2024-07-08,2023,full year,240.67
2023-07-12,2022,full year,391.54
,2021,full year,0.0
2021-07-07,2020,full year,1132.93
2020-06-09,2019,full year,1766.52
2019-07-09,2018,full year,1490.13
2018-07-11,2017,full year,1035.34
2017-07-13,2016,full year,1051.46
2016-07-13,2015,full year,1734.32
2015-07-08,2014,full year,1713.22
2014-07-08,2013,full year,998.77
2013-05-07,2012,full year,804.96
2012-05-05,2011,full year,471.64
