closing_date,year,period_type,dividend_value
2025-06-18,2024,full year,2.2545983445
2024-06-10,2023,full year,1.3313884236
2023-06-02,2022,full year,1.1335132838
2022-06-02,2021,full year,0.846632826
2021-06-08,2020,full year,0.6471407623
2020-06-17,2019,full year,0.6065124464
2019-07-10,2018,full year,0.4550026303
2018-07-03,2017,full year,0.5072173755
2017-06-13,2016,full year,0.444344266
2016-06-15,2015,full year,0.766706855786
2015-10-09,2015,full year,0.27715538627
,2014,full year,0.0
,2013,full year,0.0
2013-04-16,2012,full year,0.5841473963
2012-05-25,2012,full year,0.522853303545335
,2011,full year,0.0
2011-04-29,2010,full year,0.51132700246
2010-05-18,2009,full year,0.1800447577
2009-05-13,2008,full year,0.4805207266
