closing_date,year,period_type,dividend_value
2025-07-10,2024,full year,0.25
2024-07-09,2023,full year,0.25
2023-07-11,2022,full year,0.25
2022-07-11,2021,full year,0.25
2021-09-20,2021,full year,0.25
2021-05-06,2020,full year,0.25
2020-07-10,2019,full year,0.25
2019-05-06,2018,full year,0.25
2018-06-18,2017,full year,0.25
2017-04-24,2016,full year,0.25
2016-05-12,2015,full year,0.25
2015-05-19,2014,full year,0.25
2014-05-13,2013,full year,0.25
2013-03-15,2012,full year,0.25
2012-05-03,2011,full year,0.25
2011-03-04,2010,full year,0.25
