closing_date,year,period_type,dividend_value
2025-06-03,2024,full year,541.0
2024-12-17,2024,9 months,514.0
2024-05-07,2023,full year,498.0
2023-12-17,2023,9 months,447.0
2023-06-05,2022,full year,438.0
2022-12-21,2022,9 months,256.0
2022-12-21,2022,full year,537.0
2021-12-21,2021,9 months,340.0
2021-07-05,2020,full year,213.0
2020-12-18,2020,9 months,46.0
2020-07-10,2019,full year,350.0
2019-12-20,2019,9 months,192.0
2019-07-09,2018,full year,155.0
2018-12-21,2018,9 months,95.0
2018-07-11,2017,full year,130.0
2017-12-22,2017,9 months,85.0
2017-07-10,2016,full year,120.0
2016-12-23,2016,9 months,75.0
2016-07-12,2015,full year,112.0
2015-12-24,2015,9 months,65.0
2015-07-14,2014,full year,94.0
2014-12-26,2014,9 months,60.0
2014-07-15,2013,full year,60.0
2013-08-15,2013,half year,50.0
2013-05-13,2012,full year,50.0
2012-11-12,2012,9 months,40.0
2012-05-11,2011,full year,75.0
2011-05-06,2010,full year,59.0
2010-05-07,2009,full year,52.0
2009-05-08,2008,full year,50.0
2008-05-08,2007,full year,42.0
2007-05-11,2006,full year,38.0
2006-05-11,2005,full year,33.0
2005-05-12,2004,full year,28.0
2004-05-07,2003,full year,24.0
2003-05-12,2002,full year,19.5
2002-05-18,2001,full year,15.0
