closing_date,year,period_type,dividend_value
2024-10-17,2024,full year,2.494
2024-06-10,2023,full year,2.752
2022-01-13,2021,9 months,2.663
2021-09-27,2021,full year,3.53
2021-06-17,2021,full year,1.795
2021-06-17,2020,full year,0.945
2021-01-14,2020,9 months,2.391
2020-09-23,2020,full year,0.607
2020-06-17,2019,full year,1.507
2020-01-15,2019,9 months,1.65
2019-10-15,2019,full year,0.69
2019-06-20,2019,full year,1.488
2019-06-11,2018,full year,1.398
2018-12-18,2018,9 months,2.114
2018-10-09,2018,full year,1.589
2018-06-25,2018,full year,0.801
2018-06-13,2017,full year,0.806
2017-12-19,2017,9 months,1.111
2017-10-10,2017,full year,0.869
2017-06-06,2016,full year,1.242
2016-10-11,2016,full year,0.72
2016-06-07,2015,full year,0.31
2015-10-09,2015,full year,0.58
2014-12-23,2014,9 months,0.58
2012-11-23,2012,9 months,0.28
2011-04-04,2010,full year,0.33
2010-04-02,2009,full year,0.37
2008-07-21,2008,full year,0.382
2008-03-07,2007,full year,0.502
2007-07-16,2007,full year,0.418
2007-02-12,2006,full year,0.891
2006-10-13,2006,9 months,0.91
2006-07-14,2006,full year,0.815
2006-04-07,2006,full year,0.593
2006-03-03,2005,full year,0.532
2005-10-14,2005,9 months,0.667
