closing_date,year,period_type,dividend_value
2024-06-20,2024,full year,141.0
2022-11-07,2022,full year,8.55
2021-09-24,2021,full year,18.0
2021-05-05,2020,full year,19.0
2020-09-18,2020,full year,9.8
2020-09-16,2019,full year,18.5
2019-05-24,2018,full year,10.65
2018-04-25,2017,full year,6.0
2017-09-19,2017,full year,4.67
2017-04-28,2016,full year,4.5
2016-09-09,2016,full year,3.8
2016-04-22,2015,full year,6.66
2015-06-05,2014,full year,4.01
2014-05-23,2013,full year,2.53
2013-06-07,2012,full year,4.02
