closing_date,year,period_type,dividend_value
,2024,full year,0.0
,2023,full year,0.0
,2022,full year,0.0
,2021,full year,0.0
,2020,full year,0.0
,2019,full year,0.0
,2018,full year,0.0
,2017,full year,0.0
,2016,full year,0.0
,2015,full year,0.0
,2014,full year,0.0
,2013,full year,0.0
2013-05-10,2012,full year,126.67
2012-05-11,2011,full year,36.89
2011-05-13,2010,full year,0.85
2010-05-14,2009,full year,1.8
2009-05-15,2008,full year,2.81
2008-05-01,2007,full year,4.18
2007-05-04,2006,full year,6.48
2006-05-05,2005,full year,4.2
2005-08-15,2005,full year,202.5
2005-05-06,2004,full year,3.0
2004-05-07,2003,full year,0.2
2003-05-05,2002,full year,0.15
