closing_date,year,period_type,dividend_value
2024-01-11,2024,full year,412.13
2024-07-15,2023,full year,412.13
2021-12-31,2021,9 months,294.37
2021-06-25,2020,full year,245.31
2021-01-08,2020,9 months,245.31
2020-06-19,2019,full year,157.0
2020-01-10,2019,9 months,147.19
2019-06-14,2018,full year,166.78
2018-12-21,2018,9 months,137.38
2018-07-06,2017,full year,135.5
2017-09-15,2017,half year,115.51
2017-06-23,2016,full year,67.41
2016-12-23,2016,9 months,126.12
2016-09-23,2016,half year,84.6
2016-06-17,2015,full year,42.3
2016-01-08,2015,9 months,179.77
2015-10-09,2015,half year,88.4
2015-06-19,2014,full year,132.57
2014-12-30,2014,9 months,152.07
2014-10-10,2014,half year,78.3
2014-06-13,2013,full year,89.15
2013-08-09,2013,half year,46.06
2013-04-05,2012,full year,55.02
2012-07-27,2012,half year,21.15
2012-04-13,2012,full year,5.18
2012-04-13,2011,full year,18.26
2011-05-06,2011,full year,4.67
2011-05-06,2010,full year,6.57
2010-05-07,2009,full year,10.06
2009-05-08,2009,full year,4.76
2009-05-08,2008,full year,1.46
