closing_date,year,period_type,dividend_value
2023-05-22,2022,full year,0.48849334
2022-07-13,2022,full year,0.6037735849
2022-07-13,2022,full year,1.358490566
2022-07-13,2021,full year,0.566037736
,2020,full year,0.0
2020-08-11,2019,full year,0.7547459
2019-06-10,2018,full year,0.75471698
2018-06-19,2018,full year,0.909811
2018-06-19,2017,full year,0.911642
2017-11-17,2016,full year,0.993871
2016-07-08,2016,full year,0.37387
2016-07-08,2015,full year,0.380844
,2014,full year,0.0
2014-06-02,2013,full year,0.186966
2013-04-19,2012,full year,0.1521962
2012-04-09,2011,full year,0.12629
2011-04-13,2010,full year,0.58005
2010-04-05,2009,full year,0.1028754
2009-04-16,2008,full year,0.0
2007-07-23,2007,full year,0.01981887
2007-04-16,2006,full year,0.13803
2006-04-24,2005,full year,0.107215
2005-11-18,2005,9 months,0.22109
