closing_date,year,period_type,dividend_value
2025-06-25,2024,full year,0.067638
2024-07-04,2023,full year,0.06621
2023-06-23,2022,full year,0.01121
2023-01-08,2022,9 months,0.034
2022-06-28,2021,full year,0.0338114
2021-06-11,2020,full year,0.0335009
2020-01-13,2019,9 months,0.0200649
2019-06-10,2018,full year,0.0207533
2018-06-13,2017,full year,0.0208212
2017-06-21,2016,full year,0.044215195
2016-06-27,2015,full year,0.0108
2015-07-07,2014,full year,0.0197
2014-07-14,2013,full year,0.0018
2013-05-06,2012,full year,0.02044
2012-05-07,2011,full year,0.01
2011-05-12,2010,full year,0.01447
,2009,full year,0.0
,2008,full year,0.0
,2007,full year,0.0
,2006,full year,0.0283
,2005,full year,0.01549
