closing_date,year,period_type,dividend_value
2025-07-01,2024,full year,0.050215
2024-06-28,2023,full year,0.03883
2023-06-23,2022,full year,0.00204
2023-01-08,2022,9 months,0.03015
2022-06-27,2021,full year,0.0278233
2021-06-15,2020,full year,0.0259262
2020-01-14,2019,9 months,0.0163239
2019-06-25,2018,full year,0.040746
2018-06-12,2017,full year,0.040247
2017-06-16,2016,full year,0.011793
2016-06-27,2015,full year,0.008363605
2015-06-29,2014,full year,0.0031
2014-07-11,2013,full year,0.00563
2013-05-08,2012,full year,0.00425
2012-05-14,2011,full year,0.0028
2011-05-06,2010,full year,0.00125113337
,2009,full year,0.0
,2008,full year,0.0
,2007,full year,0.0
