closing_date,year,period_type,dividend_value
2025-07-07,2024,full year,0.03741
2024-06-14,2024,full year,0.03836
2024-06-14,2023,full year,0.05441
2023-06-23,2022,full year,0.00504
2023-01-08,2022,9 months,0.01893
2022-06-28,2021,full year,0.0249
,2020,full year,0.0
2020-06-09,2019,full year,0.0073
2020-01-14,2019,9 months,0.0032
2019-06-03,2018,full year,0.003
2018-06-13,2017,full year,0.0216
2017-06-20,2016,full year,0.0083
2016-06-24,2015,full year,0.0142
2015-06-29,2014,full year,0.0058
2014-07-16,2013,full year,0.00102
2013-04-30,2012,full year,0.00179
2012-05-04,2011,full year,0.0028
2011-05-11,2010,full year,0.0028
,2009,full year,0.0
,2008,full year,0.0
2008-05-05,2007,full year,0.0015941
