closing_date,year,period_type,dividend_value
2025-07-09,2024,full year,0.0074
2024-07-04,2023,full year,0.0062
,2022,full year,0.0
2022-06-28,2021,full year,0.00032305
,2020,full year,0.0
2020-06-09,2019,full year,0.00106762
2020-01-14,2019,9 months,0.0053946
2019-06-10,2018,full year,0.01318622
2018-06-13,2017,full year,0.01484178
2017-06-26,2016,full year,0.0072
2016-06-28,2015,full year,0.0013
2015-06-29,2014,full year,0.0001
2014-07-10,2013,full year,0.0001
2013-04-30,2012,full year,0.00163
2012-05-03,2011,full year,0.00112
