closing_date,year,period_type,dividend_value
2023-12-05,2023,full year,0.037197
2023-07-07,2022,full year,0.032768
2021-12-06,2021,full year,0.023076
2021-07-06,2020,full year,0.037173
2020-10-30,2020,full year,0.0223
,2019,full year,0.0
2019-12-02,2019,full year,0.014843
,2018,full year,0.0
2018-07-09,2018,full year,0.0185868
2018-07-09,2017,full year,0.0116502
,2016,full year,0.0
2016-12-13,2016,9 months,0.052
,2015,full year,0.0
2015-12-14,2015,9 months,0.0309971
,2014,full year,0.0
,2013,full year,0.0
2013-04-18,2012,full year,0.004832
