closing_date,year,period_type,dividend_value
2024-07-09,2023,full year,0.16038
2023-07-04,2022,full year,0.18652
2022-07-11,2021,full year,0.22308
2021-07-05,2020,full year,0.17945
2020-07-08,2019,full year,0.12075
2019-07-02,2018,full year,0.21004
2017-06-14,2016,full year,0.08482
2016-06-17,2015,full year,0.05665
2015-06-24,2014,full year,0.01
2014-06-16,2013,full year,0.04
2013-04-23,2012,full year,0.03
2012-05-12,2011,full year,0.03
2011-05-12,2010,full year,0.02
2010-05-06,2009,full year,0.01262335
2007-05-10,2007,full year,0.0104408508
2007-03-30,2006,full year,0.02116389
2006-04-11,2005,full year,0.01607
2005-05-14,2004,full year,0.0221
2004-05-13,2003,full year,0.02169
