closing_date,year,period_type,dividend_value
2025-07-08,2024,full year,0.15054
2024-07-05,2023,full year,0.14282
2023-06-30,2022,full year,0.0121
2023-01-08,2022,9 months,0.0849
2022-07-03,2021,full year,0.095
2021-06-01,2020,full year,0.0493
2020-06-09,2019,full year,0.02546
2020-01-14,2019,9 months,0.04237
2019-06-25,2018,full year,0.059
2018-06-18,2017,full year,0.03163
2017-06-21,2016,full year,0.031205
2016-06-26,2015,full year,0.1297
2015-07-06,2014,full year,0.0422
2014-07-11,2013,full year,0.05975
2013-05-08,2012,full year,0.088201
2012-05-17,2011,full year,0.025
2011-05-12,2010,full year,0.0246371
2010-05-17,2009,full year,0.0092389
,2008,full year,0.0
,2007,full year,0.0
2007-05-11,2006,full year,0.00212394
2006-05-12,2005,full year,0.00177
