closing_date,year,period_type,dividend_value
2025-07-07,2024,full year,35.0
2024-07-16,2023,full year,35.0
2023-06-29,2022,full year,34.29
2022-07-12,2021,full year,33.85
2021-10-12,2021,half year,10.55
2021-07-08,2020,full year,26.51
2020-10-12,2020,half year,8.93
2020-07-09,2019,full year,20.57
2020-01-10,2019,9 months,13.25
2019-10-14,2019,half year,8.68
2019-07-09,2018,full year,19.98
2018-10-09,2018,half year,2.6
2018-07-09,2017,full year,23.4
2017-10-13,2017,half year,10.4
2017-07-10,2016,full year,15.6
2016-10-14,2016,half year,11.99
2016-07-05,2015,full year,14.01
2015-10-14,2015,half year,5.61
2015-07-07,2014,full year,19.56
2014-10-14,2014,half year,6.2
2014-07-07,2013,full year,18.6
2013-08-14,2013,half year,5.22
2013-05-08,2012,full year,14.6
2012-05-10,2011,full year,14.71
2011-05-10,2010,full year,14.54
2010-05-07,2009,full year,15.4
2009-05-08,2008,full year,20.2
2008-05-08,2007,full year,14.8
2007-05-14,2006,full year,9.7
2006-05-06,2005,full year,7.6
2005-05-03,2004,full year,5.8
