closing_date,year,period_type,dividend_value
2021-12-16,2021,9 months,35.0
2021-05-18,2020,full year,38.0
2020-11-20,2019,full year,30.0
2019-12-16,2019,9 months,33.37
,2018,full year,0.0
,2017,full year,0.0
,2016,full year,0.0
2016-07-01,2015,full year,20.0
2015-06-29,2014,full year,27.0
2014-12-16,2014,9 months,25.0
2014-07-04,2013,full year,20.0
2013-11-01,2013,9 months,13.8
2012-10-23,2012,9 months,30.0
2012-05-16,2011,full year,5.8
2011-05-12,2010,full year,3.9
2010-05-12,2009,full year,2.3
