closing_date,year,period_type,dividend_value
2025-06-30,2024,full year,8.17
2024-12-16,2024,9 months,17.12
2024-10-07,2024,full year,22.19
2024-10-07,2023,full year,8.24
2024-01-08,2023,9 months,29.75
2023-07-12,2022,full year,14.62
2022-07-11,2021,full year,8.24
2021-10-11,2021,full year,9.5
2021-07-12,2020,full year,6.27
2021-01-14,2020,9 months,10.92
2020-07-27,2019,full year,0.96
2020-01-15,2019,9 months,6.36
2019-07-09,2018,full year,6.96
2018-12-17,2018,9 months,17.75
2018-06-26,2017,full year,5.65712
2017-12-15,2017,9 months,6.8
2017-09-08,2017,full year,7.406955
2017-07-10,2016,full year,2.359939
2016-12-21,2016,9 months,9.46
2016-06-24,2015,full year,2.60952
2015-12-20,2015,9 months,14.79356
