closing_date,year,period_type,dividend_value
2024-05-27,2023,full year,25.43
2021-12-07,2021,9 months,13.33
2021-09-07,2021,full year,13.62
2021-06-23,2021,full year,7.71
2021-05-11,2020,full year,7.25
2020-12-29,2020,9 months,6.43
2020-10-12,2020,full year,4.75
2020-07-13,2020,full year,3.21
2020-06-09,2019,full year,3.12
2020-01-09,2019,9 months,3.22
2019-10-10,2019,full year,3.68
2019-06-19,2019,full year,7.34
2019-05-06,2018,full year,5.8
2019-01-09,2018,9 months,6.04
2018-10-12,2018,full year,5.24
2018-06-20,2018,full year,5.73
2018-06-20,2017,full year,3.36
2018-01-09,2017,9 months,5.13
2017-10-12,2017,full year,3.2
2017-06-14,2017,full year,2.35
2017-06-14,2016,full year,3.38
2017-01-09,2016,9 months,3.63
2016-10-12,2016,full year,1.08
2016-06-14,2016,full year,1.13
2016-06-14,2015,full year,2.43
2016-01-08,2015,9 months,1.95
2015-10-12,2015,full year,0.93
2015-06-16,2015,full year,1.64
2015-06-16,2014,full year,1.56
2014-10-11,2014,full year,0.88
2014-06-17,2013,full year,0.67
2013-04-24,2012,full year,0.62
2012-04-10,2011,full year,0.6
2011-08-15,2011,half year,1.4
2011-04-16,2010,full year,1.2
2010-08-25,2010,half year,0.62
2010-04-16,2009,full year,0.22
2008-08-01,2008,half year,2.0
2008-04-18,2007,full year,1.5
2007-08-24,2007,half year,1.5
2007-04-16,2006,full year,1.5
2006-08-15,2006,half year,1.5
2006-04-18,2005,full year,2.0
2005-08-23,2005,half year,1.0
2005-04-04,2004,full year,0.8
2004-10-15,2004,9 months,1.0
2004-05-07,2003,full year,0.6045
2003-05-08,2002,full year,0.3125
