closing_date,year,period_type,dividend_value
2024-07-10,2023,full year,0.772
2023-07-12,2022,full year,0.798
2022-07-12,2021,full year,0.54
2021-07-12,2020,full year,0.06
2020-07-28,2019,full year,1.35
2019-06-25,2018,full year,0.5
2019-01-09,2018,9 months,0.2648
2018-10-08,2018,full year,0.519216
2017-05-29,2016,full year,0.7788237
2016-09-14,2016,full year,0.467
2016-07-05,2016,full year,0.0519216
2015-07-13,2014,full year,0.2336
2014-07-09,2013,full year,0.023364
2013-04-28,2012,full year,0.02362
2012-04-25,2011,full year,0.0235
2011-05-11,2010,full year,0.023
2010-04-19,2009,full year,0.125
2009-04-20,2008,full year,0.0265
2008-04-23,2007,full year,0.0185
