closing_date,year,period_type,dividend_value
2018-05-25,2018,full year,0.0331
2018-03-15,2017,full year,0.045
2017-11-10,2017,full year,0.0318
2017-08-31,2017,full year,0.0482
2017-05-24,2017,full year,0.0322
2017-03-02,2016,full year,0.0512
2016-12-15,2016,full year,0.0424
2016-12-15,2016,full year,0.0552
2016-06-09,2016,full year,0.0319
2016-03-07,2015,full year,0.0159
2015-12-03,2015,full year,0.035
2015-09-18,2015,full year,0.0412
2015-06-10,2015,full year,0.064
2015-03-05,2014,full year,0.0133
2014-12-04,2014,full year,0.0364
2014-09-15,2014,full year,0.0381
2014-06-12,2014,full year,0.0153
2014-03-03,2013,full year,0.0143
2013-11-29,2013,full year,0.0238
2013-09-23,2013,full year,0.0405
2013-06-14,2012,full year,0.118
