closing_date,year,period_type,dividend_value
2025-10-01,2025,full year,387.0
2025-06-09,2024,full year,87.0
2024-12-22,2024,9 months,126.0
2024-09-22,2024,full year,117.0
2024-07-11,2024,full year,15.0
2024-07-11,2023,full year,294.0
2023-07-11,2023,full year,264.0
2023-12-25,2022,9 months,291.0
2023-04-04,2022,full year,465.0
2022-12-19,2022,9 months,318.0
2022-10-03,2022,full year,780.0
2021-12-20,2021,full year,234.0
2021-09-24,2021,full year,156.0
2021-07-05,2021,full year,105.0
2021-06-07,2020,full year,63.0
2020-12-25,2020,full year,123.0
2020-10-15,2020,full year,33.0
2020-07-06,2020,full year,78.0
2020-02-04,2020,full year,48.0
2020-06-02,2019,full year,18.0
2019-10-15,2019,full year,54.0
2019-07-10,2019,full year,72.0
2019-02-04,2019,full year,72.0
2019-06-10,2018,full year,51.0
2018-10-12,2018,full year,45.0
2018-07-23,2018,full year,24.0
2018-06-13,2018,full year,15.0
2018-03-12,2018,full year,21.0
2017-10-13,2017,full year,24.0
2017-07-17,2017,full year,21.0
2017-01-27,2017,full year,39.0
2017-06-13,2016,full year,30.0
2016-10-14,2016,full year,33.0
2016-08-10,2016,full year,63.0
2016-06-10,2015,full year,57.0
2016-01-26,2015,9 months,63.0
2015-10-17,2015,full year,57.0
2015-07-25,2015,full year,48.0
2015-06-19,2014,full year,15.0
2015-01-11,2014,9 months,20.0
2014-09-29,2014,half year,25.0
2014-06-24,2013,full year,19.3
2013-09-06,2013,half year,15.45
2013-04-22,2012,full year,19.9
