closing_date,year,period_type,dividend_value
2025-04-25,2024,full year,730.0
2024-12-13,2024,9 months,301.75
2021-10-11,2021,full year,267.48
2021-06-07,2020,full year,387.15
2020-10-20,2020,full year,240.18
2020-08-28,2019,full year,244.75
2019-10-10,2019,full year,162.98
2019-05-16,2018,full year,143.62
2018-10-18,2018,full year,131.11
2018-06-10,2017,full year,147.12
2017-09-25,2017,full year,104.3
2017-07-17,2016,full year,152.41
2012-10-15,2012,9 months,62.95
2011-10-06,2011,9 months,26.23
2011-04-12,2010,full year,11.25
2010-07-19,2010,full year,8.52
2010-04-13,2009,full year,9.28
2009-08-07,2009,full year,6.55
2008-05-21,2007,full year,2.95
2007-05-11,2006,full year,3.23
