closing_date,year,period_type,dividend_value
2022-05-06,2021,full year,0.52
2021-09-10,2021,full year,0.45
2021-05-07,2020,full year,0.89
2020-09-04,2020,full year,0.4
2020-02-14,2020,full year,0.2
2020-05-11,2019,full year,0.42
2019-09-06,2019,full year,0.2
2019-05-10,2018,full year,0.31
2018-09-07,2018,full year,0.17
2018-05-11,2017,full year,0.3
2017-09-08,2017,full year,0.14
2017-05-05,2016,full year,0.18
2016-12-16,2016,full year,0.15
2016-09-02,2016,full year,0.09
2016-05-06,2015,full year,0.13
2015-12-11,2015,full year,0.3
2015-09-04,2015,full year,0.08
2015-05-01,2014,full year,0.13
2014-12-19,2014,full year,0.02
2014-09-05,2014,full year,0.08
2014-05-02,2013,full year,0.08
2013-09-06,2013,full year,0.01
2013-05-17,2012,full year,0.31
2012-12-14,2012,full year,0.5
2012-05-18,2011,full year,0.2
