closing_date,year,period_type,dividend_value
2024-05-06,2023,full year,0.0
2023-05-02,2022,full year,400.0
2022-10-11,2022,full year,400.0
2022-05-30,2021,full year,310.0
2021-05-25,2020,full year,901.0
2020-09-30,2019,full year,805.55
2019-05-27,2018,full year,0.0
2018-07-03,2017,full year,500.0
2017-07-10,2016,full year,500.0
2014-07-10,2013,full year,160.0
2013-06-07,2012,full year,60.0
2012-05-28,2011,full year,600.0
2011-06-01,2010,full year,200.0
2010-06-01,2009,full year,357.0
2008-07-29,2008,full year,700.0
2007-05-15,2006,full year,140.0
2006-04-24,2005,full year,667.0
