closing_date,year,period_type,dividend_value
2022-01-18,2021,9 months,28.0
2021-10-04,2021,full year,23.0
2021-06-07,2020,full year,5.7
2020-10-15,2020,full year,2.7
2020-06-08,2019,full year,2.83
2019-10-20,2019,full year,2.5
,2018,full year,0.0
,2017,full year,0.0
,2016,full year,0.0
,2015,full year,0.0
,2014,full year,0.0
,2013,full year,0.0
,2012,full year,0.0
2011-07-13,2011,full year,5.0
,2009,full year,0.0
2008-11-14,2008,9 months,1.5
2008-04-24,2007,full year,3.75
2007-10-25,2007,9 months,1.25
2007-04-27,2006,full year,1.94
2005-09-06,2005,full year,1.35
