closing_date,year,period_type,dividend_value
2025-07-20,2024,full year,14.68
2025-01-10,2024,9 months,36.47
2024-07-09,2023,full year,29.01
2024-01-11,2023,9 months,30.77
2023-07-11,2022,full year,17.97
2023-01-12,2022,9 months,20.39
2022-07-11,2021,full year,23.63
2021-10-11,2021,full year,18.03
2021-06-15,2020,full year,6.94
2020-06-15,2019,full year,18.07
2019-10-11,2019,full year,15.34
2019-06-17,2018,full year,11.33
2018-10-09,2018,full year,14.58
2018-07-02,2017,full year,6.65
2017-10-10,2017,full year,3.83
2017-07-03,2016,full year,5.98
2016-06-27,2015,full year,11.75
2015-06-29,2014,full year,8.21
2014-07-08,2013,full year,12.85
2013-05-06,2012,full year,8.05
2012-05-04,2011,full year,4.08
2012-05-04,2011,full year,3.45
2011-04-21,2010,full year,2.76
2010-04-29,2009,full year,2.3
2009-04-30,2008,full year,1.92
2008-04-16,2007,full year,1.6
2007-05-23,2006,full year,1.33
