closing_date,year,period_type,dividend_value
2025-08-13,2024,full year,2.71
2024-09-27,2023,full year,6.06
2023-12-01,2022,full year,5.4465
2022-07-20,2021,full year,4.56
2021-07-12,2020,full year,5.0
2020-08-21,2019,full year,5.0
2019-07-04,2018,full year,2.5
2019-01-13,2018,9 months,2.5
2018-07-08,2017,full year,5.045825249373
2017-07-07,2016,full year,5.387002045593
2016-07-08,2015,full year,5.915466946266
2015-07-03,2014,full year,3.34
2014-07-14,2013,full year,3.115959860078
2013-04-30,2012,full year,2.4369
2012-04-28,2011,full year,4.69
2011-05-10,2010,full year,0.0
2010-09-21,2010,9 months,1.1113
2010-05-07,2009,full year,1.4002
2009-04-14,2008,full year,1.941
2008-04-22,2007,full year,1.9399
2007-04-27,2006,full year,1.479
2006-05-05,2005,full year,1.5617
2005-05-06,2004,full year,1.4593
2004-05-11,2003,full year,0.87807
2003-04-28,2002,full year,0.54347
2002-04-14,2001,full year,0.2144961
2001-05-09,2000,full year,0.1634
2000-05-08,1999,full year,0.1645
,1998,full year,0.0
1998-05-10,1997,full year,0.08222
1997-06-02,1996,full year,0.0
1996-05-01,1995,full year,0.0
1995-05-15,1994,full year,0.0
1994-12-01,1993,full year,0.0
