closing_date,year,period_type,dividend_value
2025-08-13,2024,full year,6.25
2024-09-27,2023,full year,6.06
2023-12-01,2022,full year,5.4465
2022-07-20,2021,full year,4.56
2021-07-12,2020,full year,5.0
2020-08-21,2019,full year,5.0
2019-07-04,2018,full year,2.5
2019-01-13,2018,9 months,2.5
2018-07-08,2017,full year,5.045825249373
2017-07-07,2016,full year,5.387002045593
2016-07-08,2015,full year,5.915466946266
2015-07-03,2014,full year,4.05
2014-07-14,2013,full year,4.848555414552
2013-04-30,2012,full year,4.1022
2012-04-28,2011,full year,4.69
2011-05-10,2010,full year,0.4344
2010-09-21,2010,9 months,1.6677
2010-05-07,2009,full year,2.1005
2009-04-14,2008,full year,2.9124
2008-04-22,2007,full year,3.8809
2007-04-27,2006,full year,2.9589
2006-05-05,2005,full year,3.7178
2005-05-06,2004,full year,2.9738
2004-05-11,2003,full year,3.25301
2003-04-28,2002,full year,1.27472
2002-04-14,2001,full year,0.9195237
2001-05-09,2000,full year,0.4243
2000-05-08,1999,full year,0.8093
,1998,full year,0.0
1998-05-10,1997,full year,0.57362
1997-06-02,1996,full year,0.47561
1996-05-01,1995,full year,0.44675
1995-05-15,1994,full year,0.1015
1994-12-01,1993,full year,0.01
