closing_date,year,period_type,dividend_value
2024-06-10,2023,full year,4.2158648522
2023-06-01,2022,full year,3.5959466942
2022-06-09,2021,full year,2.4041145796
2021-06-03,2020,full year,1.4517042651
2020-06-04,2019,full year,0.6153564541
2019-07-08,2018,full year,0.5279882277
2018-06-22,2017,full year,0.3609496501
2017-06-13,2016,full year,0.146965124
2015-06-17,2014,full year,0.0032424822975
2014-06-16,2013,full year,0.015584210744
2013-04-16,2012,full year,0.11123502236
2012-04-20,2011,full year,0.545635836
2011-05-04,2010,full year,1.9961117273
2010-05-26,2009,full year,0.2980111841
2009-04-10,2008,full year,0.009664627
