closing_date,year,period_type,dividend_value
2023-07-09,2023,full year,0.13
,2019,full year,0.0
,2018,full year,0.0
,2017,full year,0.0
,2016,full year,0.0
,2015,full year,0.0
,2014,full year,0.0
,2013,full year,0.0
,2012,full year,0.0
2012-04-20,2011,full year,0.172374664
2011-04-27,2010,full year,0.1969996
2010-11-01,2010,9 months,0.0123
,2009,full year,0.0
2009-05-18,2008,full year,0.0
,2007,full year,0.0
2007-05-15,2007,full year,0.026568
,2006,full year,0.0
,2005,full year,0.0
2005-11-14,2005,9 months,0.053807
2005-05-03,2004,full year,0.034438
2004-04-30,2003,full year,0.044113
