closing_date,year,period_type,dividend_value
2024-07-11,2023,full year,33.3
2023-05-11,2022,full year,25.0
,2021,full year,0.0
2021-05-12,2020,full year,18.7
2020-10-05,2019,full year,18.7
2019-06-13,2018,full year,16.0
2018-06-26,2017,full year,12.0
2017-06-14,2016,full year,6.0
2016-06-14,2015,full year,1.97
2015-06-15,2014,full year,0.45
2014-06-17,2013,full year,3.2
2013-04-11,2012,full year,2.57
2012-04-12,2011,full year,2.08
2011-04-15,2010,full year,0.92
2010-04-16,2009,full year,0.08
2009-05-08,2008,full year,0.48
2008-05-08,2007,full year,0.51
2007-05-12,2006,full year,0.38
2006-04-28,2005,full year,0.26
2005-05-07,2004,full year,0.17
2004-05-01,2003,full year,0.13
2003-05-10,2002,full year,0.1
2002-04-30,2001,full year,0.05
2001-05-10,2000,full year,0.04
2000-06-12,1999,full year,0.03
1999-06-07,1998,full year,0.02
1998-04-29,1997,full year,0.01
