closing_date,year,period_type,dividend_value
2025-07-08,2024,full year,27.21
2024-10-14,2024,full year,51.96
2024-07-08,2023,full year,19.49
2023-12-27,2023,9 months,82.94
2023-07-10,2022,full year,12.16
2022-12-30,2022,9 months,69.78
2022-07-08,2021,full year,16.0
2021-12-28,2021,9 months,40.0
2021-06-25,2020,full year,10.0
2020-12-29,2020,9 months,5.0
2020-06-26,2019,full year,19.82
2019-10-18,2019,full year,18.14
2019-07-01,2018,full year,7.95
2018-12-28,2018,9 months,22.05
2018-06-26,2017,full year,5.0
2017-12-29,2017,9 months,10.0
2017-06-26,2016,full year,10.68
2016-06-27,2015,full year,0.55
2015-10-16,2015,full year,5.92
2015-06-22,2014,full year,1.85
2014-10-17,2014,full year,4.62
2014-06-23,2013,full year,5.29
2013-08-25,2013,full year,4.09
2013-04-23,2012,full year,9.3
2012-04-24,2011,full year,7.3
2011-04-25,2010,full year,4.44
2010-05-14,2009,full year,3.57
2009-05-15,2008,full year,5.4
2008-05-15,2007,full year,5.4
2007-05-18,2006,full year,8.08
2006-05-05,2005,full year,7.9
2005-07-27,2004,full year,13.91
2003-07-31,2003,full year,1.46
2003-07-31,2003,full year,6.44
2003-03-28,2002,full year,7.22
2001-11-02,2001,9 months,2.32
2001-08-03,2001,full year,3.79
2000-08-04,2000,full year,0.3
